DATE,TAVG
1/1/15,20
1/2/15,28
1/3/15,25
1/4/15,41
1/5/15,25
1/6/15,10
1/7/15,9
1/8/15,2
1/9/15,15
1/10/15,9
1/11/15,16
1/12/15,29
1/13/15,11
1/14/15,6
1/15/15,16
1/16/15,22
1/17/15,10
1/18/15,29
1/19/15,30
1/20/15,22
1/21/15,13
1/22/15,22
1/23/15,19
1/24/15,28
1/25/15,24
1/26/15,10
1/27/15,14
1/28/15,12
1/29/15,16
1/30/15,22
1/31/15,8
2/1/15,17
2/2/15,20
2/3/15,9
2/4/15,21
2/5/15,18
2/6/15,6
2/7/15,18
2/8/15,32
2/9/15,24
2/10/15,20
2/11/15,19
2/12/15,24
2/13/15,2
2/14/15,10
2/15/15,3
2/16/15,-2
2/17/15,6
2/18/15,11
2/19/15,8
2/20/15,-3
2/21/15,8
2/22/15,23
2/23/15,10
2/24/15,1
2/25/15,17
2/26/15,10
2/27/15,8
2/28/15,7
3/1/15,15
3/2/15,22
3/3/15,16
3/4/15,30
3/5/15,19
3/6/15,8
3/7/15,18
3/8/15,31
3/9/15,33
3/10/15,37
3/11/15,41
3/12/15,32
3/13/15,28
3/14/15,35
3/15/15,32
3/16/15,33
3/17/15,38
3/18/15,22
3/19/15,22
3/20/15,24
3/21/15,30
3/22/15,23
3/23/15,16
3/24/15,19
3/25/15,29
3/26/15,35
3/27/15,33
3/28/15,21
3/29/15,22
3/30/15,35
3/31/15,30
4/1/15,30
4/2/15,42
4/3/15,53
4/4/15,38
4/5/15,30
4/6/15,40
4/7/15,45
4/8/15,38
4/9/15,35
4/10/15,42
4/11/15,41
4/12/15,44
4/13/15,58
4/14/15,54
4/15/15,49
4/16/15,49
4/17/15,54
4/18/15,56
4/19/15,50
4/20/15,49
4/21/15,50
4/22/15,42
4/23/15,33
4/24/15,31
4/25/15,36
4/26/15,40
4/27/15,42
4/28/15,48
4/29/15,54
4/30/15,55
5/1/15,53
5/2/15,57
5/3/15,61
5/4/15,67
5/5/15,66
5/6/15,58
5/7/15,62
5/8/15,72
5/9/15,72
5/10/15,71
5/11/15,71
5/12/15,68
5/13/15,48
5/14/15,49
5/15/15,56
5/16/15,62
5/17/15,67
5/18/15,69
5/19/15,67
5/20/15,47
5/21/15,47
5/22/15,51
5/23/15,46
5/24/15,60
5/25/15,69
5/26/15,72
5/27/15,71
5/28/15,68
5/29/15,65
5/30/15,72
5/31/15,61
6/1/15,54
6/2/15,53
6/3/15,55
6/4/15,59
6/5/15,63
6/6/15,63
6/7/15,58
6/8/15,65
6/9/15,64
6/10/15,63
6/11/15,70
6/12/15,70
6/13/15,66
6/14/15,67
6/15/15,71
6/16/15,72
6/17/15,65
6/18/15,64
6/19/15,67
6/20/15,60
6/21/15,68
6/22/15,69
6/23/15,73
6/24/15,64
6/25/15,65
6/26/15,64
6/27/15,59
6/28/15,56
6/29/15,60
6/30/15,63
7/1/15,65
7/2/15,64
7/3/15,61
7/4/15,63
7/5/15,65
7/6/15,68
7/7/15,73
7/8/15,69
7/9/15,63
7/10/15,66
7/11/15,67
7/12/15,70
7/13/15,72
7/14/15,69
7/15/15,62
7/16/15,60
7/17/15,64
7/18/15,72
7/19/15,74
7/20/15,73
7/21/15,70
7/22/15,64
7/23/15,63
7/24/15,66
7/25/15,67
7/26/15,70
7/27/15,71
7/28/15,75
7/29/15,75
7/30/15,75
7/31/15,70
8/1/15,70
8/2/15,68
8/3/15,72
